# Q1.5 Tier 2 reverse: induced (λ̄, s̄) — 2026-04-29T20:14:30.809
D,p,ctilde_warm,n_lambda_descent,n_s_sign_flip,s_amplitude,s_mean,tau_seq,lambdabar_seq,sbar_seq
5,7,0.770473049311,3,0,6.585621e-01,-5.278897e-01,4.3100074440;5.6571159695;4.7247269872;5.6160400448;4.9175111418;5.5762545551;5.2823454633,0.7812839055;0.6310639241;0.7629180526;0.6486327472;0.7488730532;0.6736712797;0.7255983658,-3.6820019185e-01;-6.5856213188e-01;-4.2728298828e-01;-6.3997890594e-01;-4.6239337492e-01;-6.1294185804e-01;-5.2586878620e-01
5,8,0.777099570297,4,0,6.589113e-01,-5.313081e-01,4.2970471513;5.6503772141;4.7008484120;5.6160276436;4.8662394028;5.5707757241;5.1387190018;5.5345932480,0.7815107843;0.6295243606;0.7636554963;0.6453997751;0.7519947447;0.6639782161;0.7365407315;0.6973239487,-3.6681841031e-01;-6.5891131702e-01;-4.2421061817e-01;-6.4264715730e-01;-4.5376755773e-01;-6.2145681439e-01;-4.9857627445e-01;-5.8407693986e-01
5,9,0.782928324596,4,0,6.585989e-01,-5.319623e-01,4.2896989118;5.6426493039;4.6847786314;5.6126107259;4.8368516059;5.5670378789;5.0572815103;5.5911120896;5.3934000820,0.7815510568;0.6287163880;0.7640396569;0.6436156384;0.7533035870;0.6621009617;0.7391604812;0.6879200758;0.7254828709,-3.6614233649e-01;-6.5859893813e-01;-4.2228550183e-01;-6.4370342421e-01;-4.4942753860e-01;-6.2274397422e-01;-4.8752334120e-01;-6.0016993458e-01;-5.3706591041e-01
5,10,0.787924183983,5,0,6.587675e-01,-5.346671e-01,4.2776158981;5.6352575080;4.6635659965;5.6113962509;4.7874588064;5.5726923556;4.9901305417;5.5525543968;5.2851608836;5.5817276839,0.7817256717;0.6272869034;0.7646012429;0.6407584550;0.7562432465;0.6549536364;0.7411576626;0.6765239638;0.7324259702;0.7032452986,-3.6490039349e-01;-6.5876751210e-01;-4.1968097446e-01;-6.4584412789e-01;-4.4125213688e-01;-6.2969144138e-01;-4.7865589100e-01;-6.0756257766e-01;-5.1788501229e-01;-5.8243079948e-01
5,11,0.792130125642,5,0,6.586132e-01,-5.334430e-01,4.2667789937;5.6267870989;4.6444725780;5.6081965055;4.7499630635;5.5798452086;4.8941656248;5.5345724443;5.1264459206;5.5967306886;5.4127608919,0.7819519609;0.6261146371;0.7649502220;0.6386275664;0.7581787477;0.6492834992;0.7467440103;0.6694669258;0.7343122070;0.6929731433;0.7250372042,-3.6370361621e-01;-6.5861323342e-01;-4.1753343372e-01;-6.4714550336e-01;-4.3543123728e-01;-6.3531313437e-01;-4.6278040222e-01;-6.1235272954e-01;-5.0007549269e-01;-5.9538646049e-01;-5.3953753286e-01
5,12,0.795656769328,6,0,6.583417e-01,-5.351475e-01,4.2578345721;5.6183467462;4.6292093454;5.6036817036;4.7231704688;5.5799179218;4.8274375171;5.5434367071;5.0397937477;5.5362371585;5.3100471904;5.5713209538,0.7819547873;0.6250997245;0.7651167632;0.6369922640;0.7594540899;0.6457005342;0.7511062150;0.6599786961;0.7363859891;0.6808384321;0.7307713884;0.7038107664,-3.6293760121e-01;-6.5834167929e-01;-4.1595684083e-01;-6.4788757811e-01;-4.3141591086e-01;-6.3827060807e-01;-4.5122829258e-01;-6.2199855152e-01;-4.8916223796e-01;-6.0150857629e-01;-5.2235872917e-01;-5.8070358070e-01
6,1,0.629402082031,0,0,1.768185e-01,-1.768185e-01,3.9548260674,0.9007038301,-1.7681848653e-01
6,2,0.672644051382,0,0,2.253801e-01,-1.770462e-01,3.9840370519;3.9979022467,0.8699198212;0.9308236856,-2.2538014552e-01;-1.2871222080e-01
6,3,0.699318920324,0,0,2.452587e-01,-1.758449e-01,3.9956808903;4.0445659802;3.9353507024,0.8566793424;0.9013667496;0.9448751546,-2.4525873054e-01;-1.7978886664e-01;-1.0248701882e-01
6,4,0.716499681672,0,0,2.520039e-01,-1.732660e-01,3.9845200032;4.0517131730;3.9892004361;3.9090237586,0.8514119667;0.8879714809;0.9159031272;0.9539264794,-2.5200392020e-01;-2.0152702567e-01;-1.5363224266e-01;-8.5900962347e-02
