# Composite best c̃ per (k,D,p) — F64 (below precision wall) + D64
# Generated 2026-04-15 10:10
k,D,p,ctilde,source,gamma,beta
4,6,6,0.794189581095,f64/origin/stephen-apr6-results/20260331T232833-k4-d6-p1-15-r2-i320-s1234,3.3871884354880266;0.39976925957245873;0.42545185533067564;0.4451293539632573;0.4810500104893636;0.5418036092040266,1.8521178973388195;0.23381963224753058;0.2196941704676841;0.2066318521862044;0.1815909727666246;0.10238776644701279
4,6,7,0.804756460561,f64/origin/stephen-apr6-results/20260331T232833-k4-d6-p1-15-r2-i320-s1234,3.3762790246602083;0.38477165762255644;0.408402617807971;0.4218568564881469;0.4384721412028556;0.4768931453195625;0.5403488128473567,1.849905831693943;0.23152796283032318;0.219178465978237;0.21245078140950988;0.19934823356740247;0.17283929365524622;0.09393039620026726
4,6,8,0.813390728582,f64/origin/stephen-apr6-results/20260331T232833-k4-d6-p1-15-r2-i320-s1234,3.3675753874907555;0.3727301872157457;0.39544002761814745;0.4057807785722434;0.4148556265891832;0.4325921023785981;0.474110186563161;0.5396367791706789,1.8477236787691673;0.22894787183934726;0.21742097582373338;0.21316103160668068;0.20755831794247856;0.19314682897906907;0.1650014863182609;0.08696212762960766
4,6,9,0.820605414999,f64/origin/stephen-apr6-results/20260331T232833-k4-d6-p1-15-r2-i320-s1234,3.3602437320577376;0.36218945656344265;0.38511005239303797;0.3946161997206837;0.39967736065189463;0.4083165062361459;0.4276748016014166;0.4764235779364715;0.5465012417937227,1.845270274883479;0.22596720006266593;0.21546179402088902;0.21247147963083404;0.20927833190991255;0.20266436664860188;0.18716269155931398;0.15804380240885285;0.08044101284526788
4,6,10,0.826935929132,f64/local/20260401T010450-k4-d6-p1-11-r2-i320-s1234,3.357316352607833;3.5005450222025867;3.5216727574303235;3.530373093810894;3.5357210516952047;3.543546728367715;3.560736303131188;3.588088304962438;3.639905334521612;3.7066171238641705,1.8453944129517836;1.7972144299799597;1.7850080444676206;1.7850264399104572;1.7832634523912196;1.782976621373166;1.7772901686020384;1.757905210536654;1.722280795941465;1.6447495906653713
4,7,1,0.638570346665,f64/local/20260401T011015-k4-d7-p1-11-r2-i320-s1234,0.4243867839055824,0.23436715225838906
4,7,2,0.690169240157,f64/local/20260401T011015-k4-d7-p1-11-r2-i320-s1234,0.328349127700255;0.5173389469520254,0.27516935797907305;0.17225638938684207
4,7,3,0.722030054121,f64/local/20260401T011015-k4-d7-p1-11-r2-i320-s1234,0.2839347103099851;0.44901166867534054;0.5045735214853009,0.28463874576686443;0.22182295384790385;0.14406137294698101
4,7,4,0.743813356837,f64/local/20260401T011015-k4-d7-p1-11-r2-i320-s1234,0.2574052102105014;0.40824025973694716;0.44683446945288796;0.4977250547801515,0.28439842090207484;0.23267562191167815;0.2015494892327903;0.12559447175766966
4,7,5,0.759980131544,f64/origin/stephen-apr6-results/20260331T232833-k4-d7-p1-15-r2-i320-s1234,0.2392733614206542;0.38359681108136845;0.4093728181134916;0.4419845917766013;0.4929980461307192,0.2831491354202743;0.23438809273092545;0.21467420526104483;0.1887349732303255;0.11202276833526582
4,7,6,0.772513069996,f64/origin/stephen-apr6-results/20260331T232833-k4-d7-p1-15-r2-i320-s1234,0.22616606546762785;0.3656165483130195;0.3872294236298978;0.4044181308204507;0.4366628297918826;0.48997597963723616,0.28128880051287936;0.23312752579966844;0.21835827166887561;0.20478413033943108;0.17845697554997858;0.10141221467569157
4,7,7,0.782544374537,d64/swarm-d64-k4d7.csv,6.067119902743091;5.931360138616851;5.911545354274427;5.9000769366961245;5.885445986477214;5.850472670363046;5.795045871984746,2.8623762256086787;1.3397499094459748;1.3525835757464892;1.35997775712329;1.3734508997191377;1.40125961867735;1.4779101074829302
4,7,8,0.790780908381,f64/local/20260401T011015-k4-d7-p1-11-r2-i320-s1234,0.2080241290552065;0.3408009608067179;0.3598146416295905;0.3684700988288453;0.37633250647386884;0.39200548238917593;0.4301432170784371;0.4871219915420523,0.27715616000638255;0.22866064760248148;0.2167076680519459;0.21201457797568943;0.20563296208928694;0.1909565641966274;0.1615405436770712;0.08583667475568015
