k,D,p,round,gamma
4,5,13,10,0.572662699359
4,5,13,11,0.643438304208
4,5,13,12,0.647346520083
4,5,13,13,0.647346520083
4,6,2,1,3.497963771639
4,6,2,2,3.706729190999
4,6,3,1,3.449667910474
4,6,3,2,3.632439289181
4,6,3,3,3.696023250956
4,6,4,1,3.420865570883
4,6,4,2,3.587676631630
4,6,4,3,3.632437966383
4,6,4,4,3.690191306329
4,6,5,1,3.401310081593
4,6,5,2,3.560906373305
4,6,5,3,3.591087638318
4,6,5,4,3.628072687484
4,6,5,5,3.686006270039
4,6,6,1,3.387188435488
4,6,6,2,0.399769259572
4,6,6,3,0.425451855331
4,6,6,4,0.445129353963
4,6,6,5,0.481050010489
4,6,6,6,0.541803609204
4,6,7,1,3.376279024660
4,6,7,2,0.384771657623
4,6,7,3,0.408402617808
4,6,7,4,0.421856856488
4,6,7,5,0.438472141203
4,6,7,6,0.476893145320
4,6,7,7,0.540348812847
4,6,8,1,3.367575387491
4,6,8,2,0.372730187216
4,6,8,3,0.395440027618
4,6,8,4,0.405780778572
4,6,8,5,0.414855626589
4,6,8,6,0.432592102379
4,6,8,7,0.474110186563
4,6,8,8,0.539636779171
4,6,9,1,3.360243732058
4,6,9,2,0.362189456563
4,6,9,3,0.385110052393
4,6,9,4,0.394616199721
4,6,9,5,0.399677360652
4,6,9,6,0.408316506236
4,6,9,7,0.427674801601
4,6,9,8,0.476423577936
4,6,9,9,0.546501241794
4,6,10,1,3.357316352608
4,6,10,2,3.500545022203
4,6,10,3,3.521672757430
4,6,10,4,3.530373093811
4,6,10,5,3.535721051695
4,6,10,6,3.543546728368
4,6,10,7,3.560736303131
4,6,10,8,3.588088304962
4,6,10,9,3.639905334522
4,6,10,10,3.706617123864
4,6,11,1,3.351995878139
4,6,11,2,0.356723194212
4,6,11,3,0.384761341588
4,6,11,4,0.391894010151
4,6,11,5,0.397432331046
4,6,11,6,0.399833628401
4,6,11,7,0.416128498367
4,6,11,8,0.447150851249
4,6,11,9,0.500369502223
4,6,11,10,0.562637671803
4,6,11,11,0.568810859570
4,6,12,1,3.351995878139
4,6,12,2,0.356723194212
4,6,12,3,0.384761341588
4,6,12,4,0.391894010151
4,6,12,5,0.397432331046
4,6,12,6,0.399833628401
4,6,12,7,0.416128498367
4,6,12,8,0.447150851249
4,6,12,9,0.500369502223
4,6,12,10,0.562637671803
4,6,12,11,0.568810859570
4,6,12,12,0.568810859570
4,6,13,1,3.359772847159
4,6,13,2,0.378432020132
4,6,13,3,0.388626414452
4,6,13,4,0.448292430095
4,6,13,5,0.293097966481
4,6,13,6,0.405895690051
4,6,13,7,0.360598024610
4,6,13,8,0.444881533614
4,6,13,9,0.510423212223
4,6,13,10,0.556462596326
4,6,13,11,0.547085081576
4,6,13,12,0.562843729535
4,6,13,13,0.576893608437
4,7,2,1,0.328349127700
4,7,2,2,0.517338946952
4,7,3,1,0.283934710310
4,7,3,2,0.449011668675
4,7,3,3,0.504573521485
4,7,4,1,0.257405210211
4,7,4,2,0.408240259737
4,7,4,3,0.446834469453
4,7,4,4,0.497725054780
4,7,5,1,0.239273361421
4,7,5,2,0.383596811081
4,7,5,3,0.409372818113
4,7,5,4,0.441984591777
4,7,5,5,0.492998046131
4,7,6,1,0.226166065468
4,7,6,2,0.365616548313
4,7,6,3,0.387229423630
4,7,6,4,0.404418130820
