k,D,p,round,beta
4,5,11,5,0.213025146683
4,5,11,6,0.210503260056
4,5,11,7,0.209587237972
4,5,11,8,0.208216237418
4,5,11,9,0.182961360649
4,5,11,10,0.143129657425
4,5,11,11,0.066084558731
4,5,12,1,1.860397470138
4,5,12,2,0.222834784061
4,5,12,3,0.210977035658
4,5,12,4,0.210934501162
4,5,12,5,0.215289302405
4,5,12,6,0.207385745697
4,5,12,7,0.211073763561
4,5,12,8,0.201061175467
4,5,12,9,0.192168435044
4,5,12,10,0.133516181461
4,5,12,11,0.088044069873
4,5,12,12,0.046744452251
4,5,13,1,1.860397470138
4,5,13,2,0.222834784061
4,5,13,3,0.210977035658
4,5,13,4,0.210934501162
4,5,13,5,0.215289302405
4,5,13,6,0.207385745697
4,5,13,7,0.211073763561
4,5,13,8,0.201061175467
4,5,13,9,0.192168435044
4,5,13,10,0.133516181461
4,5,13,11,0.088044069873
4,5,13,12,0.046744452251
4,5,13,13,0.046744452251
4,6,2,1,1.847044692465
4,6,2,2,1.743192307974
4,6,3,1,1.856235071673
4,6,3,2,1.794607617952
4,6,3,3,1.715364542969
4,6,4,1,1.855641644400
4,6,4,2,1.804902847057
4,6,4,3,1.774918211439
4,6,4,4,1.697166305417
4,6,5,1,1.854157880002
4,6,5,2,1.806162749703
4,6,5,3,1.787172013574
4,6,5,4,1.762459374289
4,6,5,5,1.683720639565
4,6,6,1,1.852117897339
4,6,6,2,0.233819632248
4,6,6,3,0.219694170468
4,6,6,4,0.206631852186
4,6,6,5,0.181590972767
4,6,6,6,0.102387766447
4,6,7,1,1.849905831694
4,6,7,2,0.231527962830
4,6,7,3,0.219178465978
4,6,7,4,0.212450781410
4,6,7,5,0.199348233567
4,6,7,6,0.172839293655
4,6,7,7,0.093930396200
4,6,8,1,1.847723678769
4,6,8,2,0.228947871839
4,6,8,3,0.217420975824
4,6,8,4,0.213161031607
4,6,8,5,0.207558317942
4,6,8,6,0.193146828979
4,6,8,7,0.165001486318
4,6,8,8,0.086962127630
4,6,9,1,1.845270274883
4,6,9,2,0.225967200063
4,6,9,3,0.215461794021
4,6,9,4,0.212471479631
4,6,9,5,0.209278331910
4,6,9,6,0.202664366649
4,6,9,7,0.187162691559
4,6,9,8,0.158043802409
4,6,9,9,0.080441012845
4,6,10,1,1.845394412952
4,6,10,2,1.797214429980
4,6,10,3,1.785008044468
4,6,10,4,1.785026439910
4,6,10,5,1.783263452391
4,6,10,6,1.782976621373
4,6,10,7,1.777290168602
4,6,10,8,1.757905210537
4,6,10,9,1.722280795941
4,6,10,10,1.644749590665
4,6,11,1,1.837301300974
4,6,11,2,0.226770963412
4,6,11,3,0.214338837899
4,6,11,4,0.218527434511
4,6,11,5,0.217425366726
4,6,11,6,0.209551495308
4,6,11,7,0.202232714717
4,6,11,8,0.185449000304
4,6,11,9,0.146867574171
4,6,11,10,0.100088632487
4,6,11,11,0.041887369104
4,6,12,1,1.837301300974
4,6,12,2,0.226770963412
4,6,12,3,0.214338837899
4,6,12,4,0.218527434511
4,6,12,5,0.217425366726
4,6,12,6,0.209551495308
4,6,12,7,0.202232714717
4,6,12,8,0.185449000304
4,6,12,9,0.146867574171
4,6,12,10,0.100088632487
4,6,12,11,0.041887369104
4,6,12,12,0.041887369104
4,6,13,1,1.889233414497
4,6,13,2,0.280809654660
4,6,13,3,0.215649798285
4,6,13,4,0.197624397174
4,6,13,5,0.239612241132
4,6,13,6,0.259494565487
4,6,13,7,0.230594664600
4,6,13,8,0.215433828733
4,6,13,9,0.158336217278
4,6,13,10,0.104808089879
4,6,13,11,0.033162701703
4,6,13,12,0.045416790904
4,6,13,13,0.039729935158
4,7,2,1,0.275169357979
4,7,2,2,0.172256389387
4,7,3,1,0.284638745767
4,7,3,2,0.221822953848
4,7,3,3,0.144061372947
4,7,4,1,0.284398420902
4,7,4,2,0.232675621912
4,7,4,3,0.201549489233
4,7,4,4,0.125594471758
4,7,5,1,0.283149135420
4,7,5,2,0.234388092731
4,7,5,3,0.214674205261
4,7,5,4,0.188734973230
4,7,5,5,0.112022768335
4,7,6,1,0.281288800513
4,7,6,2,0.233127525800
4,7,6,3,0.218358271669
4,7,6,4,0.204784130339
4,7,6,5,0.178456975550
4,7,6,6,0.101412214676
4,7,7,1,0.279216868347
4,7,7,2,0.231046782292
4,7,7,3,0.218212520820
4,7,7,4,0.210818431721
4,7,7,5,0.197345053766
4,7,7,6,0.169536597423
4,7,7,7,0.092885930290
4,7,8,1,0.277156160006
4,7,8,2,0.228660647602
4,7,8,3,0.216707668052
4,7,8,4,0.212014577976
4,7,8,5,0.205632962089
4,7,8,6,0.190956564197
4,7,8,7,0.161540543677
4,7,8,8,0.085836674756
4,7,9,1,0.275077041141
4,7,9,2,0.225616657429
4,7,9,3,0.213915312803
4,7,9,4,0.211108701696
4,7,9,5,0.207684169371
4,7,9,6,0.199974259341
4,7,9,7,0.184321277839
4,7,9,8,0.154295926453
4,7,9,9,0.079602100085
4,7,10,1,0.275053556811
4,7,10,2,0.225384069512
4,7,10,3,0.212791198146
4,7,10,4,0.210762668327
4,7,10,5,0.208373937844
4,7,10,6,0.200269448597
4,7,10,7,0.189079883819
4,7,10,8,0.164241874069
4,7,10,9,0.111529717800
4,7,10,10,0.044645540924
4,7,11,1,0.277195167529
4,7,11,2,0.231272271048
4,7,11,3,0.211794245793
4,7,11,4,0.209217596860
4,7,11,5,0.205264667398
4,7,11,6,0.191474924286
4,7,11,7,0.191344729084
4,7,11,8,0.166388639038
4,7,11,9,0.108475684978
4,7,11,10,0.054407551174
4,7,11,11,0.041726233419
4,7,12,1,0.277996253119
4,7,12,2,0.248431683025
4,7,12,3,0.216760304629
4,7,12,4,0.094127324432
4,7,12,5,0.113102864511
4,7,12,6,0.172254468769
4,7,12,7,0.201914335249
4,7,12,8,0.208048159800
4,7,12,9,0.105396117983
4,7,12,10,0.059838929895
4,7,12,11,0.018109683420
4,7,12,12,0.036599491402
4,7,13,1,0.277996253119
4,7,13,2,0.248431683025
4,7,13,3,0.216760304629
4,7,13,4,0.094127324432
4,7,13,5,0.113102864511
4,7,13,6,0.172254468769
4,7,13,7,0.201914335249
4,7,13,8,0.208048159800
4,7,13,9,0.105396117983
4,7,13,10,0.059838929895
4,7,13,11,0.018109683420
4,7,13,12,0.036599491402
4,7,13,13,0.036599491402
4,8,2,1,1.296386840007
4,8,2,2,1.398625223283
4,8,3,1,1.286733573891
4,8,3,2,1.350368880855
4,8,3,3,1.427076202437
4,8,4,1,1.286728850548
4,8,4,2,1.339165796426
4,8,4,3,1.371079507580
4,8,4,4,1.445726434268
4,8,5,1,1.287810308447
4,8,5,2,1.337123528444
4,8,5,3,1.357403457678
4,8,5,4,1.384192412879
4,8,5,5,1.459386726715
4,8,6,1,0.281257003684
4,8,6,2,0.232617238119
4,8,6,3,0.217382431372
4,8,6,4,0.203359805130
4,8,6,5,0.176131779749
4,8,6,6,0.100736556647
4,8,7,1,1.291509077421
4,8,7,2,1.340104740149
4,8,7,3,1.353309406197
4,8,7,4,1.361180018996
4,8,7,5,1.374997578510
4,8,7,6,1.403735653314
4,8,7,7,1.478640950045
4,8,8,1,1.293332236271
4,8,8,2,1.342430496239
4,8,8,3,1.354824688298
4,8,8,4,1.359849329118
4,8,8,5,1.366672410266
4,8,8,6,1.381524135132
4,8,8,7,1.411892901176
4,8,8,8,1.485794424638
4,8,9,1,1.293652068362
4,8,9,2,1.342031959447
4,8,9,3,1.352766740764
4,8,9,4,1.358582354756
4,8,9,5,1.360778175988
4,8,9,6,1.367773510281
4,8,9,7,1.384032997511
4,8,9,8,1.418920247824
4,8,9,9,1.492953929026
4,8,10,1,1.293889370025
4,8,10,2,1.346470164141
4,8,10,3,1.350885308858
4,8,10,4,1.356678254574
4,8,10,5,1.363968492576
4,8,10,6,1.370053291982
4,8,10,7,1.383354412789
4,8,10,8,1.419688579889
4,8,10,9,1.463120044032
4,8,10,10,1.525240132788
4,8,11,1,1.294645428274
4,8,11,2,1.332743570731
4,8,11,3,1.359321382580
4,8,11,4,1.365173025572
4,8,11,5,1.367303131841
4,8,11,6,1.375422842330
4,8,11,7,1.389205079024
4,8,11,8,1.420131555937
4,8,11,9,1.461459348841
4,8,11,10,1.523309813340
4,8,11,11,1.523309813340
4,8,12,1,0.525866613434
4,8,12,2,1.717287258899
4,8,12,3,0.921213694425
4,8,12,4,2.782402106152
4,8,12,5,0.380764078874
4,8,12,6,1.069328424213
4,8,12,7,3.048017835939
4,8,12,8,2.518089670862
4,8,12,9,2.738434097736
4,8,12,10,0.796193250671
4,8,12,11,0.908845700119
4,8,12,12,2.181469339821
5,6,2,1,0.228200308055
5,6,2,2,0.148522457058
5,6,3,1,1.339200526192
